id,action_type,url_pattern,css_selector,site_id,created_at,updated_at
1,CLICK,http(s)?://(.*\.)?slashdot\.(com|org)(/\S*)?,,1,09/17/14 20:47:00,09/17/14 20:47:00
2,PAGEVIEW,http(s)?://(.*\.)?slashdot\.(com|org)(/\S*)?,,1,09/17/14 20:47:00,09/17/14 20:47:00
3,CLICK,http(s)?://(.*\.)?techcrunch\.com(/\S*)?,,2,09/17/14 20:47:00,09/17/14 20:47:00
4,PAGEVIEW,http(s)?://(.*\.)?techcrunch\.com(/\S*)?,,2,09/17/14 20:47:00,09/17/14 20:47:00
5,CLICK,http(s)?://(.*\.)?gizmodo\.com(/\S*)?,,3,09/17/14 20:47:00,09/17/14 20:47:00
6,PAGEVIEW,http(s)?://(.*\.)?gizmodo\.com(/\S*)?,,3,09/17/14 20:47:00,09/17/14 20:47:00
7,CLICK,http(s)?://(.*\.)?npr\.org(/\S*)?,,4,09/17/14 20:47:00,09/17/14 20:47:00
8,PAGEVIEW,http(s)?://(.*\.)?npr\.org(/\S*)?,,4,09/17/14 20:47:00,09/17/14 20:47:00
9,CLICK,http(s)?://(.*\.)?nytimes\.com(/\S*)?,,5,09/17/14 20:47:00,09/17/14 20:47:00
10,PAGEVIEW,http(s)?://(.*\.)?nytimes\.com(/\S*)?,,5,09/17/14 20:47:00,09/17/14 20:47:00
11,CLICK,http(s)?://(.*\.)?arstechnica\.com(/\S*)?,,6,09/17/14 20:47:00,09/17/14 20:47:00
12,PAGEVIEW,http(s)?://(.*\.)?arstechnica\.com(/\S*)?,,6,09/17/14 20:47:00,09/17/14 20:47:00
13,CLICK,http(s)?://(.*\.)?theverge\.com(/\S*)?,,7,09/17/14 20:47:00,09/17/14 20:47:00
14,PAGEVIEW,http(s)?://(.*\.)?theverge\.com(/\S*)?,,7,09/17/14 20:47:00,09/17/14 20:47:00
15,CLICK,http(s)?://(.*\.)?gigaom\.com(/\S*)?,,8,09/17/14 20:47:00,09/17/14 20:47:00
16,PAGEVIEW,http(s)?://(.*\.)?gigaom\.com(/\S*)?,,8,09/17/14 20:47:00,09/17/14 20:47:00
17,CLICK,http(s)?://(.*\.)?boingboing\.net(/\S*)?,,9,09/17/14 20:47:00,09/17/14 20:47:00
18,PAGEVIEW,http(s)?://(.*\.)?boingboing\.net(/\S*)?,,9,09/17/14 20:47:00,09/17/14 20:47:00
19,CLICK,http(s)?://(.*\.)?washingtonpost\.com(/\S*)?,,10,09/17/14 20:47:00,09/17/14 20:47:00
20,PAGEVIEW,http(s)?://(.*\.)?washingtonpost\.com(/\S*)?,,10,09/17/14 20:47:00,09/17/14 20:47:00
21,CLICK,http(s)?://(.*\.)?stackoverflow\.com(/\S*)?,,11,09/17/14 20:47:00,09/17/14 20:47:00
22,PAGEVIEW,http(s)?://(.*\.)?stackoverflow\.com(/\S*)?,,11,09/17/14 20:47:00,09/17/14 20:47:00
